,Kandidátní listina,Poř.číslo,"Příjmení, jméno",Titul,Věk,Navrh.strana,Polit.přísl.,Absolutní hlasy,Hlasy v %,Pořadí,Mandát,Rok
1756,Česká pirátská strana,11,Andrejsková Renata Ing. et Bc.,Ing.,35,Piráti,BEZPP,1366,"3,00",6,,2018
1757,Česká pirátská strana,33,Appeltauerová Martina Mgr.,Mgr.,44,Piráti,BEZPP,1130,"2,48",28,,2018
1758,KOLONÁDA - HNUTÍ PATRIOTŮ,12,Baloun Ladislav,,72,KOLONÁDA,BEZPP,418,"2,94",,,2018
1759,Karlovar.občanská alternativa,19,Baroch Petr Ing.,Ing.,54,KOA,KOA,1450,"2,79",14,,2018
1760,Karlovar.občanská alternativa,25,Barochová Jitka Mgr.,Mgr.,54,KOA,KOA,1423,"2,74",20,,2018
1761,Komunistická str.Čech a Moravy,27,Bartoňová Marie,,68,KSČM,KSČM,622,"2,69",25,,2018
1762,KOLONÁDA - HNUTÍ PATRIOTŮ,24,Bartoš Dobromil,,44,KOLONÁDA,BEZPP,353,"2,48",,,2018
1763,KOLONÁDA - HNUTÍ PATRIOTŮ,3,Bartošová Holická Marcela JUDr.,,45,KOLONÁDA,BEZPP,505,"3,55",,,2018
1764,Hnutí O co jim jde?!,10,Bártová Gabriela,,45,OCJJ,OCJJ,502,"2,88",,,2018
1765,Komunistická str.Čech a Moravy,5,Bartůněk Lukáš,,24,KSČM,BEZPP,698,"3,01",5,,2018
1766,Komunistická str.Čech a Moravy,2,Bartůňková Věra,,58,KSČM,BEZPP,849,"3,67",2,*,2018
1767,Svob.a př.dem.-T.Okamura (SPD),13,Baštová Alena,,63,SPD,SPD,642,"2,85",,,2018
1768,ANO 2011,9,Batíková Zdeňka,,66,ANO,ANO,3200,"2,93",9,*,2018
1769,ZMĚNA PRO K.V. ZA PODPORY OKS,5,Bauer František,,37,NK,BEZPP,240,"3,75",,,2018
1770,ANO 2011,17,Bauer Josef Ing.,Ing.,68,ANO,ANO,3141,"2,88",5,,2018
1771,STAN a TOP 09,10,Bečková Michaela  DiS.,,48,TOP 09,BEZPP,515,"3,16",,,2018
1772,Komunistická str.Čech a Moravy,26,Beláňová Květoslava Ing.,Ing.,74,KSČM,KSČM,621,"2,68",24,,2018
1773,ANO 2011,7,Benedikt Václav Ing.,Ing.,37,ANO,ANO,3289,"3,02",7,*,2018
1774,Svob.a př.dem.-T.Okamura (SPD),14,Beneš Libor,,41,SPD,BEZPP,644,"2,86",,,2018
1775,ODS s podp. Str. s. ČR a MK,34,Beneš Michael,,28,ODS,ODS,814,"2,29",31,,2018
1776,ANO 2011,22,Bergerová Štěpánka Ing.,Ing.,52,ANO,BEZPP,3123,"2,86",10,,2018
1777,ZVOLITELNÍ - koalice,4,Bernat Lukáš Ing.,Ing.,34,Svobodní,Svobodní,331,"3,22",,,2018
1778,KRÁSNÉ KARLOVY VARY,17,Bezouška Valdemar,,20,NK,BEZPP,287,"2,67",,,2018
1779,ANO 2011,18,Biak Ondřej Pavel,,25,ANO,ANO,3106,"2,85",6,,2018
1780,Česká pirátská strana,4,Bílá Daniela,,48,Piráti,Piráti,1359,"2,98",1,,2018
1781,KOLONÁDA - HNUTÍ PATRIOTŮ,22,Bilová Pavlína,,21,KOLONÁDA,BEZPP,352,"2,47",,,2018
1782,ODS s podp. Str. s. ČR a MK,7,Bílský Roman,,38,ODS,ODS,1068,"3,01",5,,2018
1783,ANO 2011,31,Birošík Marián  DiS.,,38,ANO,BEZPP,2953,"2,71",19,,2018
1784,Česká pirátská strana,20,Bischofová Olga,,48,Piráti,BEZPP,1311,"2,88",15,,2018
1785,Svob.a př.dem.-T.Okamura (SPD),1,Biskup Jaroslav Mgr.,Mgr.,72,SPD,SPD,718,"3,19",,,2018
1786,ZVOLITELNÍ - koalice,31,Blahout Václav,,31,USZ,USZ,233,"2,27",,,2018
1787,KOLONÁDA - HNUTÍ PATRIOTŮ,18,Böhm Jiří,,80,KOLONÁDA,BEZPP,420,"2,95",,,2018
1788,Komunistická str.Čech a Moravy,3,Borka Jaroslav Mgr.,Mgr.,65,KSČM,KSČM,887,"3,83",1,*,2018
1789,Karlovaráci,3,Bouška Pavel MUDr.,MUDr.,55,KVC,BEZPP,2548,"3,57",1,*,2018
1790,ANO 2011,8,Bouzová Daniela,,46,ANO,ANO,3191,"2,93",8,*,2018
1791,Karlovaráci,27,Bozděch Robert,,44,KVC,KVC,1919,"2,69",19,,2018
1792,ZMĚNA PRO K.V. ZA PODPORY OKS,11,Brabcová Eliška  DiS.,,31,NK,BEZPP,206,"3,22",,,2018
1793,ODS s podp. Str. s. ČR a MK,4,Brdlík Jiří MUDr.,MUDr.,61,ODS,ODS,1447,"4,08",1,*,2018
1794,ODS s podp. Str. s. ČR a MK,17,Brdlíková Eliška,,26,NK,BEZPP,1070,"3,02",14,,2018
1795,KRÁSNÉ KARLOVY VARY,20,Brémová Hana,,57,NK,BEZPP,282,"2,62",,,2018
1796,STAN a TOP 09,1,Brož Jiří Mgr.,Mgr.,49,STAN,STAN,661,"4,05",,,2018
1797,STAN a TOP 09,21,Brožová Hana MUDr.,MUDr.,50,STAN,BEZPP,476,"2,92",,,2018
1798,PRO Zdraví a Sport,1,Bruštík Čestmír,,52,PRO Zdraví,BEZPP,491,"5,18",,,2018
1799,Hnutí O co jim jde?!,32,Bubla Milan,,30,OCJJ,BEZPP,388,"2,23",,,2018
1800,Česká pirátská strana,29,Bulant Matěj,,20,Piráti,BEZPP,1191,"2,61",24,,2018
1801,Hnutí O co jim jde?!,19,Buňát Radek,,46,OCJJ,BEZPP,446,"2,56",,,2018
1802,ODS s podp. Str. s. ČR a MK,1,Bursík Petr Ing.,Ing.,42,ODS,ODS,1409,"3,98",2,*,2018
1803,ZMĚNA PRO K.V. ZA PODPORY OKS,20,Bušek Vladimír,,42,NK,BEZPP,175,"2,73",,,2018
1804,Hnutí O co jim jde?!,7,Cais Petr Mgr.,Mgr.,46,OCJJ,OCJJ,560,"3,22",,,2018
1805,ODS s podp. Str. s. ČR a MK,20,Cimický Vojtěch,,31,ODS,ODS,980,"2,76",17,,2018
1806,ANO 2011,16,Čábelová Vlasta,,69,ANO,ANO,3144,"2,88",4,,2018
1807,PRO Zdraví a Sport,35,Čechová Iva,,36,PRO Zdraví,BEZPP,191,"2,01",,,2018
1808,PRO Zdraví a Sport,22,Čechová Jaroslava,,61,PRO Zdraví,BEZPP,226,"2,38",,,2018
1809,ZMĚNA PRO K.V. ZA PODPORY OKS,35,Čerjanik David,,22,NK,BEZPP,158,"2,47",,,2018
1810,Česká pirátská strana,1,Čermák Jindřich Mgr.,Mgr.,36,Piráti,Piráti,1604,"3,52",1,*,2018
1811,PRO Zdraví a Sport,17,Čermáková Denisa,,43,PRO Zdraví,PRO Zdraví,227,"2,39",,,2018
1812,Česká pirátská strana,24,Čermáková Lenka,,41,Piráti,Piráti,1240,"2,72",19,,2018
1813,Česká pirátská strana,35,Černá Michaela,,29,Piráti,BEZPP,1024,"2,25",30,,2018
1814,Svob.a př.dem.-T.Okamura (SPD),12,Černá Vratislava,,65,SPD,SPD,653,"2,90",,,2018
1815,ZMĚNA PRO K.V. ZA PODPORY OKS,4,Černohous Ondřej Ing.,Ing.,29,NK,BEZPP,236,"3,69",,,2018
1816,Svob.a př.dem.-T.Okamura (SPD),8,Černý Josef,,69,SPD,SPD,658,"2,92",,,2018
1817,Česká str.sociálně demokrat.,21,Červeňák Ladislav,,45,ČSSD,ČSSD,342,"2,62",,,2018
1818,Karlovar.občanská alternativa,27,Červenáková Michaela MUDr.,MUDr.,48,KOA,KOA,1400,"2,69",22,,2018
1819,Česká pirátská strana,17,Damborský Ondřej Mgr.,Mgr.,26,Piráti,BEZPP,1294,"2,84",12,,2018
1820,ZMĚNA PRO K.V. ZA PODPORY OKS,22,Danielková Jaroslava,,55,NK,BEZPP,171,"2,67",,,2018
1821,Hnutí O co jim jde?!,13,Darivčák Ondřej,,69,OCJJ,BEZPP,483,"2,77",,,2018
1822,Česká pirátská strana,22,Delfino Ricardo,,30,Piráti,BEZPP,1289,"2,83",17,,2018
1823,ZMĚNA PRO K.V. ZA PODPORY OKS,9,Demjan Milan,,47,NK,BEZPP,207,"3,23",,,2018
1824,Hnutí O co jim jde?!,16,Diesslová Anna,,64,OCJJ,BEZPP,462,"2,65",,,2018
1825,Česká str.sociálně demokrat.,6,Dietz Jiří,,52,ČSSD,ČSSD,465,"3,56",,,2018
1826,Česká str.sociálně demokrat.,20,Dimo Pavel,,56,ČSSD,ČSSD,354,"2,71",,,2018
1827,ODS s podp. Str. s. ČR a MK,21,Dohnal Petr,,55,ODS,ODS,974,"2,75",18,,2018
1828,KRÁSNÉ KARLOVY VARY,23,Dolejšová Anna,,20,NK,BEZPP,284,"2,64",,,2018
1829,KRÁSNÉ KARLOVY VARY,13,Dolejšová Pavlína,,45,NK,BEZPP,294,"2,74",,,2018
1830,Komunistická str.Čech a Moravy,17,Doležalová Danuše,,73,KSČM,KSČM,631,"2,72",15,,2018
1831,Komunistická str.Čech a Moravy,23,Doležalová Marie,,86,KSČM,KSČM,625,"2,70",21,,2018
1832,STAN a TOP 09,29,Dostalová Stanislava Mgr.,Mgr.,57,STAN,BEZPP,417,"2,55",,,2018
1833,Karlovaráci,17,Douba Ondřej,,28,KVC,BEZPP,1964,"2,75",9,,2018
1834,ANO 2011,26,Doubek Josef,,67,ANO,ANO,3036,"2,78",14,,2018
1835,ZVOLITELNÍ - koalice,22,Drahokoupil Karel Ing.,Ing.,58,USZ,BEZPP,290,"2,82",,,2018
1836,ZVOLITELNÍ - koalice,25,Drahokoupilová Adéla Bc.,Bc.,22,USZ,BEZPP,261,"2,54",,,2018
1837,Hnutí O co jim jde?!,23,Dudl Václav,,43,OCJJ,BEZPP,440,"2,53",,,2018
1838,STAN a TOP 09,33,Dudová Irena,,87,STAN,BEZPP,350,"2,14",,,2018
1839,KRÁSNÉ KARLOVY VARY,6,Dufek Jiří Ing.,Ing.,56,NK,BEZPP,368,"3,43",,,2018
1840,PRO Zdraví a Sport,10,Dufek Jiří,,29,PRO Zdraví,BEZPP,249,"2,62",,,2018
1841,KRÁSNÉ KARLOVY VARY,14,Dufek Richard Ing.,Ing.,24,NK,BEZPP,301,"2,80",,,2018
1842,Karlovar.občanská alternativa,18,Dušek Jan Ing.,Ing.,54,KOA,KOA,1450,"2,79",13,,2018
1843,ANO 2011,4,Dušek Martin,,45,ANO,ANO,3252,"2,98",4,*,2018
1844,KRÁSNÉ KARLOVY VARY,33,Dvořáček Petr,,65,NK,BEZPP,258,"2,40",,,2018
1845,Svob.a př.dem.-T.Okamura (SPD),6,Dvořák Martin,,38,SPD,SPD,659,"2,93",,,2018
1846,KOLONÁDA - HNUTÍ PATRIOTŮ,14,Dvořák Miroslav,,44,KOLONÁDA,BEZPP,391,"2,75",,,2018
1847,PRO Zdraví a Sport,4,Dvořák Oldřich,,66,PRO Zdraví,PRO Zdraví,415,"4,38",,,2018
1848,ODS s podp. Str. s. ČR a MK,16,Engler Jiří,,36,NK,Soukromníci,996,"2,81",13,,2018
1849,Komunistická str.Čech a Moravy,7,Ettlerová Naděžda,,63,KSČM,KSČM,670,"2,89",7,,2018
1850,Hnutí O co jim jde?!,35,Fail Ewald Ing.,Ing.,76,OCJJ,BEZPP,350,"2,01",,,2018
1851,Česká pirátská strana,26,Farkas Daniel,,22,Piráti,Piráti,1238,"2,72",21,,2018
1852,ANO 2011,23,Fenclová Vítězslava,,41,ANO,BEZPP,3088,"2,83",11,,2018
1853,Česká str.sociálně demokrat.,16,Fiala Jaroslav Ing. CSc.,Ing.,62,ČSSD,ČSSD,395,"3,03",,,2018
1854,Komunistická str.Čech a Moravy,4,Finta František,,35,KSČM,KSČM,683,"2,95",4,,2018
1855,Komunistická str.Čech a Moravy,6,Fišerová Miroslava,,41,KSČM,KSČM,684,"2,95",6,,2018
1856,PRO Zdraví a Sport,9,Fomenko Vladimír MUDr.,MUDr.,67,PRO Zdraví,BEZPP,274,"2,89",,,2018
1857,Hnutí O co jim jde?!,31,Forejt Zbyněk,,31,OCJJ,BEZPP,397,"2,28",,,2018
1858,Hnutí O co jim jde?!,22,Forejtová Hana,,57,OCJJ,BEZPP,463,"2,66",,,2018
1859,ZMĚNA PRO K.V. ZA PODPORY OKS,31,Formánek Radoslav,,26,NK,BEZPP,165,"2,58",,,2018
1860,KRÁSNÉ KARLOVY VARY,29,Fornous Josef,,70,NK,BEZPP,268,"2,49",,,2018
1861,KRÁSNÉ KARLOVY VARY,34,Fornousová Marie,,69,NK,BEZPP,249,"2,32",,,2018
1862,PRO Zdraví a Sport,32,Fous Luboš,,46,PRO Zdraví,BEZPP,205,"2,16",,,2018
1863,PRO Zdraví a Sport,7,Frischholzová Blanka,,53,PRO Zdraví,BEZPP,292,"3,08",,,2018
1864,Česká str.sociálně demokrat.,25,Frous Martin Bc.,Bc.,48,ČSSD,ČSSD,339,"2,60",,,2018
1865,Karlovar.občanská alternativa,16,Frühauf Jiří Mgr.,Mgr.,48,KOA,BEZPP,1517,"2,92",11,,2018
1866,ZMĚNA PRO K.V. ZA PODPORY OKS,29,Frydrýn Zdeněk,,55,NK,BEZPP,168,"2,62",,,2018
1867,ZMĚNA PRO K.V. ZA PODPORY OKS,28,Frydrýnová Ivana,,54,NK,BEZPP,166,"2,59",,,2018
1868,Hnutí O co jim jde?!,2,Fujdiar Jaroslav,,44,OCJJ,OCJJ,768,"4,41",,,2018
1869,ODS s podp. Str. s. ČR a MK,22,Fuksa Miroslav Ing.,Ing.,59,ODS,ODS,991,"2,79",19,,2018
1870,Česká str.sociálně demokrat.,35,Gerba Juraj,,80,ČSSD,ČSSD,292,"2,24",,,2018
1871,ZMĚNA PRO K.V. ZA PODPORY OKS,16,Gross Martin,,51,NK,BEZPP,171,"2,67",,,2018
1872,Karlovaráci,28,Grundler Lukáš,,30,KVC,BEZPP,1901,"2,66",20,,2018
1873,ANO 2011,24,Grundler Martin,,50,ANO,BEZPP,3083,"2,83",12,,2018
1874,ZVOLITELNÍ - koalice,32,Guseva Světlana,,26,Zelení,BEZPP,219,"2,13",,,2018
1875,ODS s podp. Str. s. ČR a MK,24,Habib Anis Ing.,Ing.,27,ODS,ODS,961,"2,71",21,,2018
1876,Karlovar.občanská alternativa,6,Haboubi Faez Al MUDr.,,45,KOA,BEZPP,1562,"3,01",1,,2018
1877,ZVOLITELNÍ - koalice,23,Hájek Jan Mgr.,Mgr.,70,KDU-ČSL,BEZPP,267,"2,60",,,2018
1878,PRO Zdraví a Sport,28,Hájek Ladislav,,34,PRO Zdraví,BEZPP,212,"2,23",,,2018
1879,Komunistická str.Čech a Moravy,28,Hálová Marie,,85,KSČM,KSČM,616,"2,66",26,,2018
1880,PRO Zdraví a Sport,2,Hanzlíková Ivana MUDr.,MUDr.,63,PRO Zdraví,BEZPP,582,"6,14",,,2018
1881,ANO 2011,35,Hašek Jindřich,,51,ANO,BEZPP,2675,"2,45",23,,2018
1882,Česká str.sociálně demokrat.,2,Havel Martin JUDr.,JUDr.,52,ČSSD,ČSSD,562,"4,31",,,2018
1883,Karlovaráci,7,Havel Zdeněk,,62,KVC,KVC,2114,"2,96",7,*,2018
1884,ODS s podp. Str. s. ČR a MK,29,Havlíček Pavel,,56,ODS,ODS,914,"2,58",26,,2018
1885,Svob.a př.dem.-T.Okamura (SPD),10,Havlíček Tomáš,,36,SPD,BEZPP,658,"2,92",,,2018
1886,ODS s podp. Str. s. ČR a MK,19,Havlíček Kolářová Pavlína,,46,ODS,ODS,980,"2,76",16,,2018
1887,Hnutí O co jim jde?!,33,Heimerle Ondřej,,20,OCJJ,BEZPP,387,"2,22",,,2018
1888,Hnutí O co jim jde?!,6,Heimerlová Petra Ing.,Ing.,49,OCJJ,OCJJ,542,"3,11",,,2018
1889,Komunistická str.Čech a Moravy,35,Hejcman Milan,,92,KSČM,KSČM,593,"2,56",33,,2018
1890,KRÁSNÉ KARLOVY VARY,2,Hejnová Iveta,,55,NK,PRO2016,401,"3,73",,,2018
1891,Česká pirátská strana,13,Helebrant Martin,,33,Piráti,BEZPP,1373,"3,01",8,,2018
1892,Svob.a př.dem.-T.Okamura (SPD),30,Hermanová Iveta,,36,SPD,BEZPP,608,"2,70",,,2018
1893,ZVOLITELNÍ - koalice,7,Herold Daniel,,37,USZ,BEZPP,279,"2,71",,,2018
1894,ZVOLITELNÍ - koalice,10,Hladeček Lukáš,,44,Svobodní,Svobodní,270,"2,63",,,2018
1895,Komunistická str.Čech a Moravy,8,Hlavatý Ivo,,53,KSČM,BEZPP,657,"2,84",8,,2018
1896,ANO 2011,27,Hlavínová Anežka,,68,ANO,ANO,3021,"2,77",15,,2018
1897,KOLONÁDA - HNUTÍ PATRIOTŮ,27,Holan Petr,,49,KOLONÁDA,BEZPP,364,"2,56",,,2018
1898,ZVOLITELNÍ - koalice,35,Holeček Petr,,46,Svobodní,BEZPP,219,"2,13",,,2018
1899,ZVOLITELNÍ - koalice,21,Holubcová Barbora  DiS.,,44,KDU-ČSL,KDU-ČSL,262,"2,55",,,2018
1900,Hnutí O co jim jde?!,27,Homolka Jiří Ing.,Ing.,62,OCJJ,BEZPP,470,"2,70",,,2018
1901,Hnutí O co jim jde?!,1,Homolka Otmar Ing.,Ing.,61,OCJJ,OCJJ,921,"5,29",,,2018
1902,Hnutí O co jim jde?!,18,Homolková Romana,,61,OCJJ,BEZPP,445,"2,56",,,2018
1903,ZVOLITELNÍ - koalice,33,Houdková Jana Mgr.,Mgr.,31,USZ,BEZPP,235,"2,29",,,2018
1904,Česká pirátská strana,9,Hovorka Martin Ing.,Ing.,44,Piráti,BEZPP,1362,"2,99",4,,2018
1905,Svob.a př.dem.-T.Okamura (SPD),17,Hrabě Martin,,25,SPD,BEZPP,637,"2,83",,,2018
1906,Česká pirátská strana,2,Hradečná Barbora,,33,Piráti,Piráti,1418,"3,11",5,*,2018
1907,ANO 2011,10,Hrdlička Jaroslav,,58,ANO,ANO,3171,"2,91",10,*,2018
1908,PRO Zdraví a Sport,19,Hrdličková Kateřina,,52,PRO Zdraví,PRO Zdraví,219,"2,31",,,2018
1909,KRÁSNÉ KARLOVY VARY,24,Hrnková Zdeňka,,59,NK,BEZPP,279,"2,60",,,2018
1910,PRO Zdraví a Sport,30,Hromi Martin,,42,PRO Zdraví,BEZPP,204,"2,15",,,2018
1911,Česká str.sociálně demokrat.,24,Hudcová Anna,,22,ČSSD,ČSSD,335,"2,57",,,2018
1912,ODS s podp. Str. s. ČR a MK,31,Hudec Vladimír,,42,ODS,ODS,880,"2,48",28,,2018
1913,Česká pirátská strana,10,Huml Libor,,36,Piráti,BEZPP,1385,"3,04",5,,2018
1914,ODS s podp. Str. s. ČR a MK,10,Hůrka Vladimír Mgr.,Mgr.,59,ODS,ODS,1114,"3,14",1,,2018
1915,Česká pirátská strana,31,Hyhlíková Esther,,18,Piráti,BEZPP,1174,"2,58",26,,2018
1916,KRÁSNÉ KARLOVY VARY,19,Hynková Lucie,,43,NK,BEZPP,278,"2,59",,,2018
1917,Česká str.sociálně demokrat.,9,Hytha Marek Ing.,Ing.,32,ČSSD,ČSSD,388,"2,97",,,2018
1918,Svob.a př.dem.-T.Okamura (SPD),32,Chramosta Petr,,58,SPD,BEZPP,607,"2,69",,,2018
1919,KOLONÁDA - HNUTÍ PATRIOTŮ,19,Ibrahim Doraid,,56,KOLONÁDA,BEZPP,360,"2,53",,,2018
1920,ZMĚNA PRO K.V. ZA PODPORY OKS,1,Ivan Karel Ing.,Ing.,58,NK,BEZPP,282,"4,41",,,2018
1921,ZMĚNA PRO K.V. ZA PODPORY OKS,21,Ivanová Andrea,,45,NK,BEZPP,175,"2,73",,,2018
1922,KOLONÁDA - HNUTÍ PATRIOTŮ,23,Jandečková Zuzana,,34,KOLONÁDA,BEZPP,350,"2,46",,,2018
1923,Karlovar.občanská alternativa,21,Jandl Dominik,,30,KOA,KOA,1409,"2,71",16,,2018
1924,Česká pirátská strana,8,Jandová Jana Bc. DiS.,Bc.,64,Piráti,BEZPP,1337,"2,93",3,,2018
1925,Karlovar.občanská alternativa,33,Janouš Martin,,47,KOA,KOA,1221,"2,35",28,,2018
1926,STAN a TOP 09,27,Janoušek Bohumír,,68,STAN,BEZPP,414,"2,54",,,2018
1927,Česká pirátská strana,5,Janů Josef Ing.,Ing.,49,Piráti,Piráti,1546,"3,39",2,*,2018
1928,Karlovaráci,29,Jícha Martin,,54,KVC,BEZPP,1859,"2,60",21,,2018
1929,Česká str.sociálně demokrat.,26,Jílek Václav,,44,ČSSD,ČSSD,339,"2,60",,,2018
1930,Svob.a př.dem.-T.Okamura (SPD),3,Jirkovský Jaroslav,,73,SPD,SPD,679,"3,01",,,2018
1931,STAN a TOP 09,15,Jiřík Petr,,40,STAN,BEZPP,460,"2,82",,,2018
1932,Karlovaráci,14,Jiskrová Blanka Mgr.,Mgr.,45,KVC,BEZPP,2096,"2,93",6,,2018
1933,Svob.a př.dem.-T.Okamura (SPD),7,Jordán Ondřej Bc.,Bc.,33,SPD,BEZPP,657,"2,92",,,2018
1934,Česká str.sociálně demokrat.,10,Jordán Petr,,33,ČSSD,ČSSD,402,"3,08",,,2018
1935,PRO Zdraví a Sport,5,Jungmann Petr,,52,PRO Zdraví,BEZPP,283,"2,98",,,2018
1936,STAN a TOP 09,16,Kadleček Adam,,18,TOP 09,BEZPP,429,"2,63",,,2018
1937,ZMĚNA PRO K.V. ZA PODPORY OKS,8,Kadounová Martina  BBA,,28,NK,BEZPP,183,"2,86",,,2018
1938,KRÁSNÉ KARLOVY VARY,18,Kadounová Martina,,54,NK,BEZPP,291,"2,71",,,2018
1939,Komunistická str.Čech a Moravy,21,Kalina Jan,,76,KSČM,KSČM,625,"2,70",19,,2018
1940,Svob.a př.dem.-T.Okamura (SPD),20,Kaljkovićová Kristýna,,31,SPD,BEZPP,632,"2,81",,,2018
1941,Svob.a př.dem.-T.Okamura (SPD),28,Kaluža Jaroslav,,62,SPD,BEZPP,622,"2,76",,,2018
1942,KRÁSNÉ KARLOVY VARY,5,Kaňka Šimon MgA.,MgA.,38,NK,BEZPP,363,"3,38",,,2018
1943,ZVOLITELNÍ - koalice,14,Karas Vitalij Mgr.,Mgr.,47,Zelení,BEZPP,272,"2,65",,,2018
1944,ZVOLITELNÍ - koalice,20,Karasová Elena Mgr.,Mgr.,53,Zelení,BEZPP,258,"2,51",,,2018
1945,ANO 2011,21,Kargerová Lucie,,40,ANO,BEZPP,3124,"2,86",9,,2018
1946,Česká pirátská strana,28,Karráová Erika Bc.,Bc.,53,Piráti,BEZPP,1198,"2,63",23,,2018
1947,Svob.a př.dem.-T.Okamura (SPD),34,Kemr Miroslav,,61,SPD,BEZPP,576,"2,56",,,2018
1948,ZMĚNA PRO K.V. ZA PODPORY OKS,2,Klement Marek,,42,NK,BEZPP,240,"3,75",,,2018
1949,Česká pirátská strana,16,Kleslová Michaela,,19,Piráti,Piráti,1312,"2,88",11,,2018
1950,ZVOLITELNÍ - koalice,1,Klíma Jan Ing.,Ing.,54,KDU-ČSL,KDU-ČSL,568,"5,53",,,2018
1951,ANO 2011,30,Klíma Jaroslav,,70,ANO,BEZPP,2944,"2,70",18,,2018
1952,STAN a TOP 09,9,Klíma Jiří MUDr.,MUDr.,50,STAN,BEZPP,534,"3,27",,,2018
1953,PRO Zdraví a Sport,33,Klíma Rudolf,,72,PRO Zdraví,PRO Zdraví,202,"2,13",,,2018
1954,ZVOLITELNÍ - koalice,13,Kloz Stanislav MUDr.,MUDr.,74,KDU-ČSL,BEZPP,319,"3,10",,,2018
1955,Karlovar.občanská alternativa,23,Klsák Adam Mgr.,Mgr.,27,KOA,BEZPP,1472,"2,83",18,,2018
1956,Karlovar.občanská alternativa,5,Klsák Jiří Mgr.,Mgr.,64,KOA,KOA,1957,"3,77",2,*,2018
1957,PRO Zdraví a Sport,13,Klusáková Dana,,65,PRO Zdraví,BEZPP,236,"2,49",,,2018
1958,Karlovar.občanská alternativa,30,Knára Jan MUDr.,MUDr.,77,KOA,KOA,1329,"2,56",25,,2018
1959,Svob.a př.dem.-T.Okamura (SPD),15,Kokolusová Kamila,,51,SPD,SPD,649,"2,88",,,2018
1960,Česká str.sociálně demokrat.,30,Kolacia Martin,,41,ČSSD,ČSSD,330,"2,53",,,2018
1961,ANO 2011,33,Kolář Petr,,55,ANO,BEZPP,2806,"2,57",21,,2018
1962,Svob.a př.dem.-T.Okamura (SPD),27,Kolenič Ferdinand Bc.,Bc.,45,SPD,BEZPP,632,"2,81",,,2018
1963,STAN a TOP 09,31,Kopecká Jana Ing.,Ing.,42,STAN,BEZPP,382,"2,34",,,2018
1964,Karlovaráci,4,Kopfstein Josef,,71,KVC,KVC,2194,"3,07",6,*,2018
1965,Česká pirátská strana,32,Kopš Zdeněk,,26,Piráti,BEZPP,1140,"2,50",27,,2018
1966,Komunistická str.Čech a Moravy,24,Koster Jozef Mgr.,Mgr.,71,KSČM,BEZPP,623,"2,69",22,,2018
1967,PRO Zdraví a Sport,14,Kostourek Michal Bc.,Bc.,32,PRO Zdraví,BEZPP,267,"2,81",,,2018
1968,ODS s podp. Str. s. ČR a MK,23,Kouba Lubomír,,67,ODS,ODS,953,"2,69",20,,2018
1969,ODS s podp. Str. s. ČR a MK,14,Koubová Vasilie,,61,ODS,ODS,993,"2,80",11,,2018
1970,Svob.a př.dem.-T.Okamura (SPD),25,Kováčová Alena,,40,SPD,BEZPP,628,"2,79",,,2018
1971,ANO 2011,5,Kovář Lubomír Ing.,Ing.,55,ANO,ANO,3279,"3,01",5,*,2018
1972,Česká pirátská strana,6,Kozáková Renata JUDr.,JUDr.,56,Piráti,BEZPP,1433,"3,14",4,*,2018
1973,Komunistická str.Čech a Moravy,9,Kožešník Milan,,55,KSČM,KSČM,649,"2,80",9,,2018
1974,STAN a TOP 09,26,Král Pavel Ing.,Ing.,58,TOP 09,TOP 09,415,"2,54",,,2018
1975,ANO 2011,28,Král Petr Ing.,Ing.,48,ANO,BEZPP,3036,"2,78",16,,2018
1976,KOLONÁDA - HNUTÍ PATRIOTŮ,15,Krám Zdeněk,,58,KOLONÁDA,BEZPP,392,"2,75",,,2018
1977,KOLONÁDA - HNUTÍ PATRIOTŮ,11,Krausová Ivana Ing.,Ing.,63,KOLONÁDA,BEZPP,404,"2,84",,,2018
1978,KRÁSNÉ KARLOVY VARY,16,Krejbich Václav,,67,NK,BEZPP,287,"2,67",,,2018
1979,Karlovaráci,10,Kristenová Nela Ing. Mgr. LL.M.,Ing.,31,KVC,KVC,2031,"2,84",2,,2018
1980,PRO Zdraví a Sport,3,Kronika Jan,,48,PRO Zdraví,PRO Zdraví,410,"4,32",,,2018
1981,PRO Zdraví a Sport,16,Kroniková Lenka PhDr. Mgr.,PhDr.,44,PRO Zdraví,PRO Zdraví,275,"2,90",,,2018
1982,Česká str.sociálně demokrat.,5,Křenková Eva Bc.,Bc.,63,ČSSD,ČSSD,388,"2,97",,,2018
1983,Česká pirátská strana,14,Kubíček Richard  DiS.,,41,Piráti,BEZPP,1326,"2,91",9,,2018
1984,KRÁSNÉ KARLOVY VARY,15,Kubík David,,28,NK,BEZPP,281,"2,62",,,2018
1985,Komunistická str.Čech a Moravy,20,Kucián František,,74,KSČM,BEZPP,636,"2,75",18,,2018
1986,Komunistická str.Čech a Moravy,34,Kučera Ladislav,,89,KSČM,KSČM,590,"2,55",32,,2018
1987,PRO Zdraví a Sport,11,Kučerová Jana Mgr.,Mgr.,60,PRO Zdraví,BEZPP,260,"2,74",,,2018
1988,Karlovar.občanská alternativa,1,Kulhánek Petr Ing.,Ing.,47,KOA,KOA,1994,"3,84",1,*,2018
