,Kandidátní listina,Poř.číslo,"Příjmení, jméno",Titul,Věk,Navrh.strana,Polit.přísl.,Absolutní hlasy,Hlasy v %,Pořadí,Mandát,Rok
1269,TOP 09,20,Štrébl Štěpán,,19,TOP 09,BEZPP,1351,"2,55",16,,2010
1270,Česká str.sociálně demokrat.,23,Štulíková Daniela,,29,ČSSD,ČSSD,2216,"2,59",16,,2010
1271,Strana svobodných občanů,2,Šuchman Petr Ing.,Ing.,26,Svobodní,BEZPP,203,"20,30",,,2010
1272,Doktoři (za uzdravení společ.),27,Švabčík Josef,,27,Doktoři,BEZPP,345,"2,03",,,2010
1273,Věci veřejné,9,Švec Radek MDDr.,MDDr.,26,VV,BEZPP,496,"3,67",,,2010
1274,Křesť.demokr.unie-Čs.str.lid.,20,Tejkal Václav,,35,KDU-ČSL,KDU-ČSL,171,"2,20",,,2010
1275,Křesť.demokr.unie-Čs.str.lid.,33,Tesař Miroslav,,69,KDU-ČSL,KDU-ČSL,158,"2,03",,,2010
1276,Křesť.demokr.unie-Čs.str.lid.,14,Tesař Otokar Ing.,Ing.,82,KDU-ČSL,BEZPP,168,"2,16",,,2010
1277,Věci veřejné,30,Teterja Jiří,,30,VV,BEZPP,331,"2,45",,,2010
1278,TOP 09,25,Tichota Karel,,35,TOP 09,BEZPP,1416,"2,67",21,,2010
1279,Strana svobodných občanů,5,Tichotová Iva Bc.,Bc.,24,Svobodní,BEZPP,187,"18,70",,,2010
1280,Suverenita-blok J.Bobošíkové,34,Tlachová Jitka,,21,Suveren.,BEZPP,211,"1,93",,,2010
1281,Victoria.cz,18,Tlustý Jiří,,44,Victoria,BEZPP,304,"2,22",,,2010
1282,TOP 09,37,Tobolková Marie MUDr.,MUDr.,70,TOP 09,BEZPP,1204,"2,27",33,,2010
1283,Hnutí O co jim jde?!,35,Tokarová Marie,,30,OCJJ,OCJJ,780,"1,89",32,,2010
1284,Dělnic.str.sociální spravedl.,5,Tolar Jan,,32,DSSS,DSSS,160,"18,28",,,2010
1285,Věci veřejné,8,Toman Radek Ing.,Ing.,47,VV,BEZPP,490,"3,62",,,2010
1286,Suverenita-blok J.Bobošíkové,16,Tomandlová Kristina,,59,Suveren.,BEZPP,287,"2,63",,,2010
1287,Strana zelených,23,Töröková Zuzana,,25,SZ,BEZPP,199,"2,24",,,2010
1288,TOP 09,1,Toufar Michal Ing.,Ing.,38,TOP 09,TOP 09,1832,"3,46",2,*,2010
1289,Karlovar.občanská alternativa,15,Toufarová Soňa Ing.,Ing.,62,KOA,KOA,2423,"2,47",9,,2010
1290,Nestraníci,2,Trubač Ladislav Ing.,Ing.,52,Nestran.,BEZPP,742,"4,74",,,2010
1291,Nestraníci,38,Trubač Ladislav Bc.,Bc.,26,Nestran.,BEZPP,309,"1,97",,,2010
1292,Česká str.sociálně demokrat.,13,Tulparchanova Sabina,,26,ČSSD,ČSSD,2234,"2,61",6,,2010
1293,Strana zelených,32,Tůma Lukáš,,31,SZ,BEZPP,170,"1,91",,,2010
1294,Karlovar.občanská alternativa,22,Tůmová Michaela Ing.,Ing.,41,KOA,KOA,2435,"2,48",15,,2010
1295,Nestraníci,33,Tůša Viktor,,31,Nestran.,NEZ/DEM,308,"1,97",,,2010
1296,Česká str.sociálně demokrat.,24,Tvarochová Alexandra,,39,ČSSD,ČSSD,2198,"2,57",17,,2010
1297,Česká str.sociálně demokrat.,5,Ullisch Richard Ing.,Ing.,30,ČSSD,ČSSD,2370,"2,77",7,*,2010
1298,Suverenita-blok J.Bobošíkové,30,Urban Otakar,,44,Suveren.,BEZPP,239,"2,19",,,2010
1299,Victoria.cz,20,Valečko Zdeněk Ing.,Ing.,61,Victoria,BEZPP,316,"2,31",,,2010
1300,Victoria.cz,12,Valečko ml. Zdeněk Ing.,,37,Victoria,BEZPP,365,"2,67",,,2010
1301,Suverenita-blok J.Bobošíkové,20,Valečková Nina,,21,Suveren.,BEZPP,257,"2,36",,,2010
1302,Věci veřejné,27,Valeriánová Lucie Bc.,Bc.,25,VV,BEZPP,396,"2,93",,,2010
